invoice_no,invoice_date,age,category,quantity,selling_price_per_unit,cost_price_per_unit,payment_method,region,state,shopping_mall
I313997,11-01-16,42,Toys,2,71.68,50.176,Credit Card,East,Pennsylvania,Metropol AVM
I114151,11-01-16,26,Souvenir,1,11.73,8.211,Credit Card,East,Pennsylvania,Mall of Istanbul
I922271,11-01-16,51,Clothing,3,900.24,675.18,Cash,West,California,Metropol AVM
I575970,11-01-16,29,Shoes,4,2400.68,2280.646,Credit Card,Central,Texas,Metropol AVM
I146988,11-01-16,32,Food & Beverage,2,10.46,7.322,Debit Card,Central,Michigan,Kanyon
I261739,11-01-16,20,Books,5,75.75,56.8125,Credit Card,East,New York,Metropol AVM
I186509,11-01-16,68,Clothing,2,600.16,450.12,Credit Card,East,New York,Istinye Park
I192937,11-01-16,27,Clothing,3,900.24,675.18,Cash,South,Georgia,Metrocity
I234613,11-01-16,50,Clothing,3,900.24,675.18,Cash,Central,Iowa,Kanyon
I283790,11-01-16,48,Clothing,1,300.08,225.06,Cash,South,North Carolina,Mall of Istanbul
I191790,11-01-16,24,Books,2,30.3,21.21,Credit Card,Central,Michigan,Viaport Outlet
I315582,11-01-16,57,Books,1,15.15,10.605,Credit Card,West,California,Metropol AVM
I285138,11-01-16,63,Souvenir,2,23.46,16.422,Debit Card,West,California,Kanyon
I192748,11-01-16,37,Food & Beverage,5,26.15,19.6125,Credit Card,West,California,Istinye Park
I172397,11-01-16,33,Clothing,4,1200.32,1140.304,Credit Card,West,Washington,Mall of Istanbul
I295832,11-01-16,27,Books,3,45.45,31.815,Cash,West,Washington,Kanyon
I288904,11-01-16,24,Clothing,3,900.24,675.18,Cash,West,Washington,Kanyon
I338225,11-01-16,50,Shoes,5,3000.85,2700.765,Credit Card,West,Washington,Metrocity
I940081,11-01-16,34,Food & Beverage,2,10.46,7.322,Credit Card,West,Washington,Istinye Park
I755690,11-01-16,41,Clothing,4,1200.32,1140.304,Credit Card,West,Washington,Metropol AVM
I335855,11-01-16,47,Cosmetics,3,121.98,91.485,Credit Card,West,Washington,Zorlu Center
I169400,11-01-16,65,Clothing,2,600.16,450.12,Credit Card,Central,Iowa,Istinye Park
I214898,11-01-16,31,Clothing,3,900.24,675.18,Debit Card,Central,Iowa,Mall of Istanbul
I182507,11-01-16,48,Clothing,5,1500.4,1425.38,Cash,Central,Iowa,Kanyon
I396699,11-01-16,65,Cosmetics,2,81.32,56.924,Cash,West,California,Mall of Istanbul
I128822,11-01-16,69,Shoes,2,1200.34,1080.306,Credit Card,West,California,Mall of Istanbul
I195520,11-01-16,43,Toys,3,107.52,80.64,Cash,West,California,Mall of Istanbul
I283396,11-01-16,51,Clothing,1,300.08,225.06,Cash,West,California,Viaport Outlet
I159875,11-01-16,57,Toys,4,143.36,114.688,Credit Card,West,California,Metrocity
I330936,11-01-16,68,Cosmetics,3,121.98,91.485,Cash,West,California,Mall of Istanbul
I233227,11-01-16,36,Clothing,5,1500.4,1425.38,Debit Card,West,Arizona,Istinye Park
I199167,11-01-16,21,Souvenir,1,11.73,8.211,Cash,West,Arizona,Viaport Outlet
I150254,11-01-16,46,Clothing,1,300.08,225.06,Credit Card,West,Arizona,Metrocity
I291750,11-01-16,20,Clothing,4,1200.32,1140.304,Credit Card,West,Arizona,Istinye Park
I216843,11-01-16,34,Toys,4,143.36,114.688,Credit Card,West,Arizona,Kanyon
I144756,11-01-16,29,Cosmetics,5,203.3,162.64,Debit Card,West,Arizona,Kanyon
I101526,11-01-16,24,Clothing,5,1500.4,1425.38,Cash,East,New York,Viaport Outlet
I455292,11-01-16,37,Cosmetics,2,81.32,56.924,Cash,East,New York,Metrocity
I157728,11-01-16,40,Food & Beverage,4,20.92,15.69,Cash,East,Ohio,Metropol AVM
I158070,11-01-16,51,Clothing,1,300.08,225.06,Cash,West,California,Kanyon
I275185,11-01-16,64,Clothing,5,1500.4,1425.38,Credit Card,West,California,Zorlu Center
I600031,11-01-16,57,Clothing,1,300.08,225.06,Credit Card,West,Washington,Mall of Istanbul
I306322,11-01-16,61,Clothing,3,900.24,675.18,Cash,West,Washington,Metropol AVM
I769234,11-01-16,68,Technology,1,1050,945,Cash,West,California,Mall of Istanbul
I119531,11-01-16,51,Cosmetics,5,203.3,162.64,Debit Card,West,California,Kanyon
I226604,11-01-16,52,Shoes,5,3000.85,2700.765,Credit Card,West,California,Metropol AVM
I148796,11-01-16,43,Books,1,15.15,10.605,Credit Card,West,California,Kanyon
I339045,11-01-16,37,Clothing,5,1500.4,1425.38,Credit Card,Central,Illinois,Mall of Istanbul
I177874,11-01-16,51,Cosmetics,3,121.98,91.485,Credit Card,Central,Illinois,Kanyon
I137080,11-01-16,23,Food & Beverage,2,10.46,7.322,Debit Card,South,North Carolina,Kanyon
I642277,11-01-16,25,Food & Beverage,4,20.92,15.69,Cash,South,North Carolina,Kanyon
I152638,11-01-16,30,Clothing,1,300.08,225.06,Credit Card,South,North Carolina,Metropol AVM
I604214,11-01-16,35,Clothing,5,1500.4,1425.38,Debit Card,South,North Carolina,Kanyon
I273420,11-01-16,39,Clothing,2,600.16,450.12,Debit Card,South,North Carolina,Metropol AVM
I254116,11-01-16,34,Clothing,1,300.08,225.06,Cash,Central,Iowa,Istinye Park
I170795,11-01-16,66,Food & Beverage,5,26.15,19.6125,Debit Card,Central,Texas,Kanyon
I248694,11-01-16,29,Clothing,3,900.24,675.18,Credit Card,Central,Texas,Kanyon
I174166,11-01-16,27,Souvenir,5,58.65,43.9875,Credit Card,East,Pennsylvania,Zorlu Center
I259457,11-01-16,38,Clothing,2,600.16,450.12,Debit Card,East,New York,Viaport Outlet
I273271,11-01-16,58,Clothing,2,600.16,450.12,Cash,South,Alabama,Metrocity
I787272,11-01-16,40,Clothing,4,1200.32,1140.304,Credit Card,East,Pennsylvania,Istinye Park
I200607,11-01-16,64,Cosmetics,1,40.66,28.462,Cash,East,Pennsylvania,Kanyon
I322342,11-01-16,25,Toys,5,179.2,143.36,Credit Card,West,Washington,Kanyon
I103746,11-01-16,41,Shoes,3,1800.51,1620.459,Cash,West,Washington,Kanyon
I216011,11-01-16,65,Toys,3,107.52,80.64,Cash,West,Oregon,Metrocity
I514643,11-01-16,34,Souvenir,4,46.92,35.19,Cash,West,Oregon,Zorlu Center
I107723,11-01-16,26,Clothing,1,300.08,225.06,Debit Card,South,Georgia,Mall of Istanbul
I676057,11-01-16,43,Clothing,3,900.24,675.18,Cash,South,Georgia,Kanyon
I521708,11-01-16,64,Toys,2,71.68,50.176,Debit Card,South,Georgia,Istinye Park
I170572,11-01-16,35,Souvenir,4,46.92,35.19,Credit Card,West,California,Metrocity
I297602,11-01-16,46,Souvenir,3,35.19,24.633,Credit Card,West,California,Viaport Outlet
I243504,11-01-16,46,Toys,5,179.2,143.36,Credit Card,West,California,Zorlu Center
I220492,11-01-16,48,Clothing,3,900.24,675.18,Credit Card,West,California,Istinye Park
I153195,11-01-16,53,Shoes,3,1800.51,1620.459,Cash,East,New York,Zorlu Center
I746016,11-01-16,19,Food & Beverage,5,26.15,19.6125,Cash,Central,Michigan,Mall of Istanbul
I319913,11-01-16,21,Clothing,2,600.16,450.12,Credit Card,West,California,Metropol AVM
I173770,11-01-16,45,Food & Beverage,1,5.23,3.661,Credit Card,West,Arizona,Zorlu Center
I194639,11-01-16,21,Cosmetics,4,162.64,130.112,Cash,East,Pennsylvania,Metropol AVM
I195329,11-01-16,40,Clothing,1,300.08,225.06,Credit Card,East,Pennsylvania,Mall of Istanbul
I203439,11-01-16,66,Clothing,1,300.08,225.06,Cash,East,Pennsylvania,Kanyon
I735287,11-01-16,63,Souvenir,4,46.92,35.19,Credit Card,East,Pennsylvania,Istinye Park
I172791,11-01-16,45,Cosmetics,1,40.66,28.462,Debit Card,East,Pennsylvania,Metrocity
I189894,11-01-16,35,Clothing,5,1500.4,1425.38,Cash,East,Pennsylvania,Istinye Park
I220290,11-01-16,56,Cosmetics,5,203.3,162.64,Cash,Central,Michigan,Mall of Istanbul
I239172,11-01-16,43,Clothing,3,900.24,675.18,Credit Card,East,New York,Viaport Outlet
I240907,11-01-16,64,Toys,4,143.36,114.688,Credit Card,East,New York,Viaport Outlet
I100960,11-01-16,57,Books,3,45.45,31.815,Cash,Central,Iowa,Kanyon
I577936,11-01-16,66,Souvenir,4,46.92,35.19,Debit Card,East,New York,Istinye Park
I218421,11-01-16,19,Clothing,3,900.24,675.18,Cash,West,California,Istinye Park
I255493,11-01-16,40,Technology,2,2100,1890,Cash,South,Kentucky,Zorlu Center
I151186,11-01-16,61,Clothing,5,1500.4,1425.38,Cash,East,Ohio,Kanyon
I301480,11-01-16,22,Toys,3,107.52,80.64,Cash,West,Colorado,Metrocity
I254485,11-01-16,33,Shoes,4,2400.68,2280.646,Cash,West,Colorado,Istinye Park
I783453,11-01-16,67,Technology,4,4200,3780,Cash,West,Colorado,Mall of Istanbul
I316221,11-01-16,45,Food & Beverage,4,20.92,15.69,Debit Card,West,Colorado,Metrocity
I284440,11-01-16,21,Clothing,1,300.08,225.06,Debit Card,West,Colorado,Metrocity
I117828,11-01-16,63,Cosmetics,1,40.66,28.462,Cash,East,New York,Mall of Istanbul
I267393,11-01-16,36,Clothing,5,1500.4,1425.38,Cash,Central,Texas,Mall of Istanbul
I293073,11-01-16,63,Shoes,4,2400.68,2280.646,Cash,Central,Texas,Istinye Park
I296790,11-01-16,37,Clothing,4,1200.32,1140.304,Debit Card,Central,Texas,Kanyon
I847021,11-01-16,59,Cosmetics,5,203.3,162.64,Credit Card,West,Idaho,Metrocity
I147504,11-01-16,69,Cosmetics,2,81.32,56.924,Credit Card,West,Idaho,Metrocity
I298829,11-01-16,51,Clothing,2,600.16,450.12,Cash,West,Idaho,Metrocity
I278323,11-01-16,19,Food & Beverage,4,20.92,15.69,Credit Card,West,Idaho,Kanyon
I631924,11-01-16,64,Food & Beverage,4,20.92,15.69,Debit Card,Central,Texas,Zorlu Center
I236517,11-01-16,62,Toys,5,179.2,143.36,Cash,East,New York,Viaport Outlet
I197594,11-01-16,51,Food & Beverage,5,26.15,19.6125,Debit Card,East,New York,Metropol AVM
I148927,11-01-16,62,Clothing,1,300.08,225.06,Cash,East,Pennsylvania,Zorlu Center
I119046,11-01-16,57,Clothing,5,1500.4,1425.38,Debit Card,West,Idaho,Metrocity
I174407,11-01-16,36,Books,2,30.3,21.21,Cash,South,Virginia,Viaport Outlet
I288273,11-01-16,62,Cosmetics,5,203.3,162.64,Credit Card,West,Oregon,Mall of Istanbul
I206914,11-01-16,53,Shoes,1,600.17,450.1275,Debit Card,Central,Michigan,Zorlu Center
I493591,11-01-16,50,Clothing,2,600.16,450.12,Cash,Central,Michigan,Zorlu Center
I162952,11-01-16,52,Clothing,5,1500.4,1425.38,Cash,West,Oregon,Mall of Istanbul
I322766,11-01-16,48,Clothing,2,600.16,450.12,Debit Card,East,Pennsylvania,Zorlu Center
I190139,11-01-16,31,Shoes,4,2400.68,2280.646,Cash,South,Alabama,Mall of Istanbul
I162599,11-01-16,68,Food & Beverage,3,15.69,10.983,Credit Card,South,Alabama,Zorlu Center
I157788,11-01-16,55,Clothing,1,300.08,225.06,Credit Card,South,Alabama,Kanyon
I319083,11-01-16,29,Clothing,5,1500.4,1425.38,Cash,South,Alabama,Mall of Istanbul
I155698,11-01-16,22,Clothing,4,1200.32,1140.304,Cash,South,Alabama,Metrocity
I901346,11-01-16,35,Clothing,3,900.24,675.18,Credit Card,West,California,Istinye Park
I220308,11-01-16,23,Clothing,5,1500.4,1425.38,Credit Card,South,Tennessee,Metropol AVM
I314132,11-01-16,53,Food & Beverage,3,15.69,10.983,Credit Card,West,California,Metrocity
I170174,11-01-16,65,Clothing,1,300.08,225.06,Cash,West,California,Kanyon
I961930,11-01-16,46,Clothing,1,300.08,225.06,Cash,West,California,Mall of Istanbul
I999341,11-01-16,43,Clothing,4,1200.32,1140.304,Credit Card,East,Ohio,Mall of Istanbul
I102323,11-01-16,67,Clothing,5,1500.4,1425.38,Credit Card,Central,Iowa,Istinye Park
I395029,11-01-16,29,Souvenir,3,35.19,24.633,Cash,Central,Iowa,Zorlu Center
I150446,11-01-16,27,Shoes,5,3000.85,2700.765,Cash,West,Washington,Kanyon
I226168,11-01-16,56,Food & Beverage,1,5.23,3.661,Credit Card,South,Georgia,Kanyon
I305378,11-01-16,38,Cosmetics,3,121.98,91.485,Credit Card,South,Georgia,Mall of Istanbul
I881429,11-01-16,34,Food & Beverage,5,26.15,19.6125,Cash,West,Idaho,Metropol AVM
I101855,11-01-16,25,Books,4,60.6,45.45,Cash,West,Idaho,Viaport Outlet
I297477,11-01-16,53,Food & Beverage,1,5.23,3.661,Cash,West,Idaho,Mall of Istanbul
I905518,11-01-16,43,Cosmetics,1,40.66,28.462,Cash,Central,Michigan,Istinye Park
I131953,11-01-16,52,Food & Beverage,4,20.92,15.69,Cash,Central,Michigan,Mall of Istanbul
I253067,11-01-16,41,Clothing,1,300.08,225.06,Debit Card,Central,Illinois,Zorlu Center
I121345,11-01-16,30,Shoes,4,2400.68,2280.646,Credit Card,West,California,Metropol AVM
I539863,11-01-16,25,Toys,1,35.84,25.088,Cash,West,California,Kanyon
I151532,11-01-16,66,Shoes,1,600.17,450.1275,Credit Card,West,California,Mall of Istanbul
I265311,11-01-16,42,Food & Beverage,5,26.15,19.6125,Credit Card,West,California,Kanyon
I452320,11-01-16,38,Cosmetics,2,81.32,56.924,Cash,East,Ohio,Zorlu Center
I297710,11-01-16,35,Books,3,45.45,31.815,Cash,Central,Texas,Viaport Outlet
I132353,11-01-16,63,Clothing,2,600.16,450.12,Credit Card,East,Delaware,Metrocity
I176453,11-01-16,69,Clothing,2,600.16,450.12,Cash,East,Delaware,Mall of Istanbul
I244830,11-01-16,58,Toys,4,143.36,114.688,Credit Card,West,Idaho,Mall of Istanbul
I263295,11-01-16,23,Clothing,5,1500.4,1425.38,Cash,West,Idaho,Viaport Outlet
I492048,11-01-16,37,Clothing,4,1200.32,1140.304,Cash,West,Idaho,Metrocity
I136801,11-01-16,29,Food & Beverage,4,20.92,15.69,Cash,West,Idaho,Zorlu Center
I407044,11-01-16,67,Cosmetics,4,162.64,130.112,Credit Card,West,Idaho,Metropol AVM
I198963,11-01-16,30,Clothing,5,1500.4,1425.38,Cash,East,Ohio,Mall of Istanbul
I150786,11-01-16,44,Souvenir,3,35.19,24.633,Credit Card,East,Delaware,Zorlu Center
I133605,11-01-16,19,Clothing,1,300.08,225.06,Credit Card,East,Delaware,Metrocity
I329799,11-01-16,23,Clothing,2,600.16,450.12,Cash,East,Delaware,Kanyon
I323072,11-01-16,18,Clothing,2,600.16,450.12,Credit Card,West,California,Mall of Istanbul
I418723,11-01-16,58,Food & Beverage,3,15.69,10.983,Debit Card,West,California,Mall of Istanbul
I329888,11-01-16,29,Technology,5,5250,4725,Cash,Central,Texas,Viaport Outlet
I242860,11-01-16,57,Shoes,3,1800.51,1620.459,Credit Card,Central,Texas,Istinye Park
I874478,11-01-16,61,Souvenir,3,35.19,24.633,Cash,Central,Texas,Mall of Istanbul
I730389,11-01-16,65,Souvenir,4,46.92,35.19,Cash,West,California,Mall of Istanbul
I790555,11-01-16,47,Shoes,4,2400.68,2280.646,Cash,West,California,Metrocity
I302736,11-01-16,63,Clothing,5,1500.4,1425.38,Cash,West,California,Metropol AVM
I573534,11-01-16,29,Food & Beverage,5,26.15,19.6125,Debit Card,South,Kentucky,Kanyon
I289596,11-01-16,18,Food & Beverage,2,10.46,7.322,Cash,South,Kentucky,Istinye Park
I129713,11-01-16,30,Shoes,2,1200.34,1080.306,Debit Card,East,New York,Istinye Park
I389846,11-01-16,29,Clothing,5,1500.4,1425.38,Cash,Central,Texas,Metropol AVM
I203171,11-01-16,37,Technology,4,4200,3780,Cash,Central,Texas,Metrocity
I240782,11-01-16,40,Toys,1,35.84,25.088,Debit Card,Central,Texas,Metrocity
I168656,11-01-16,22,Cosmetics,5,203.3,162.64,Cash,Central,Texas,Mall of Istanbul
I767185,11-01-16,39,Clothing,3,900.24,675.18,Debit Card,South,Kentucky,Viaport Outlet
I785175,11-01-16,26,Toys,1,35.84,25.088,Cash,South,Kentucky,Viaport Outlet
I203613,11-01-16,60,Cosmetics,4,162.64,130.112,Credit Card,East,Delaware,Metrocity
I120183,11-01-16,50,Clothing,3,900.24,675.18,Cash,East,Delaware,Viaport Outlet
I564944,11-01-16,56,Clothing,3,900.24,675.18,Cash,East,Delaware,Zorlu Center
I247642,11-01-16,32,Cosmetics,4,162.64,130.112,Cash,Central,Illinois,Zorlu Center
I194943,11-01-16,30,Clothing,5,1500.4,1425.38,Debit Card,Central,Illinois,Istinye Park
I988925,11-01-16,62,Cosmetics,1,40.66,28.462,Cash,Central,Illinois,Mall of Istanbul
I719339,11-01-16,47,Cosmetics,4,162.64,130.112,Debit Card,Central,Illinois,Zorlu Center
I257046,11-01-16,54,Cosmetics,1,40.66,28.462,Credit Card,Central,Texas,Kanyon
I313638,11-01-16,34,Shoes,3,1800.51,1620.459,Credit Card,Central,Texas,Istinye Park
I869385,11-01-16,39,Clothing,2,600.16,450.12,Credit Card,East,New York,Istinye Park
I309414,11-01-16,49,Shoes,1,600.17,450.1275,Credit Card,East,New York,Istinye Park
I179711,11-01-16,42,Cosmetics,5,203.3,162.64,Cash,East,Delaware,Mall of Istanbul
I310462,11-01-16,24,Shoes,2,1200.34,1080.306,Cash,East,Delaware,Mall of Istanbul
I574965,11-01-16,64,Clothing,2,600.16,450.12,Credit Card,East,Ohio,Metrocity
I111210,11-01-16,31,Shoes,1,600.17,450.1275,Credit Card,East,New York,Metrocity
I331556,11-01-16,47,Clothing,4,1200.32,1140.304,Cash,Central,Texas,Zorlu Center
I234313,11-01-16,57,Clothing,1,300.08,225.06,Cash,Central,Illinois,Metrocity
I117486,11-01-16,58,Clothing,1,300.08,225.06,Credit Card,Central,Iowa,Istinye Park
I966450,11-01-16,38,Cosmetics,4,162.64,130.112,Cash,Central,Iowa,Mall of Istanbul
I260223,11-01-16,25,Shoes,3,1800.51,1620.459,Cash,Central,Iowa,Kanyon
I225551,11-01-16,31,Clothing,1,300.08,225.06,Cash,Central,Iowa,Zorlu Center
I164245,11-01-16,61,Cosmetics,2,81.32,56.924,Debit Card,Central,Iowa,Kanyon
I119620,11-01-16,32,Clothing,2,600.16,450.12,Cash,West,Washington,Kanyon
I237419,11-01-16,45,Food & Beverage,3,15.69,10.983,Cash,West,Washington,Mall of Istanbul
I109715,11-01-16,45,Toys,3,107.52,80.64,Debit Card,West,Washington,Istinye Park
I526064,11-01-16,19,Clothing,2,600.16,450.12,Credit Card,West,Washington,Viaport Outlet
I326148,11-01-16,49,Clothing,3,900.24,675.18,Cash,West,Washington,Viaport Outlet
I296489,11-01-16,56,Souvenir,5,58.65,43.9875,Credit Card,West,Washington,Kanyon
I209481,11-01-16,65,Technology,4,4200,3780,Credit Card,South,Florida,Zorlu Center
I339512,11-01-16,57,Clothing,5,1500.4,1425.38,Credit Card,South,Florida,Kanyon
I691935,11-01-16,22,Clothing,3,900.24,675.18,Cash,South,Florida,Kanyon
I919583,11-01-16,20,Shoes,2,1200.34,1080.306,Credit Card,South,Florida,Istinye Park
I113086,11-01-16,57,Clothing,3,900.24,675.18,Cash,South,Florida,Zorlu Center
I183516,11-01-16,68,Food & Beverage,2,10.46,7.322,Cash,South,Florida,Mall of Istanbul
I107965,11-01-16,52,Food & Beverage,5,26.15,19.6125,Credit Card,South,Florida,Zorlu Center
I146950,11-01-16,19,Clothing,2,600.16,450.12,Cash,South,Florida,Mall of Istanbul
I261519,11-01-16,39,Clothing,5,1500.4,1425.38,Cash,East,Pennsylvania,Kanyon
I253892,11-01-16,57,Cosmetics,2,81.32,56.924,Debit Card,East,New York,Kanyon
I510992,11-01-16,63,Clothing,3,900.24,675.18,Cash,West,California,Kanyon
I167924,11-01-16,59,Food & Beverage,4,20.92,15.69,Cash,West,California,Kanyon
I569393,11-01-16,49,Technology,5,5250,4725,Cash,West,California,Mall of Istanbul
I269716,11-01-16,65,Technology,2,2100,1890,Debit Card,West,California,Metropol AVM
I285634,11-01-16,63,Clothing,3,900.24,675.18,Cash,East,New York,Viaport Outlet
I227848,11-01-16,54,Food & Beverage,1,5.23,3.661,Cash,East,New York,Metrocity
I250461,11-01-16,65,Clothing,5,1500.4,1425.38,Cash,Central,Texas,Metrocity
I248429,11-01-16,68,Toys,3,107.52,80.64,Debit Card,Central,Texas,Kanyon
I699261,11-01-16,29,Clothing,4,1200.32,1140.304,Debit Card,Central,Texas,Istinye Park
I265903,11-01-16,22,Toys,2,71.68,50.176,Cash,Central,Texas,Mall of Istanbul
I140875,11-01-16,54,Books,4,60.6,45.45,Cash,Central,Texas,Kanyon
I156351,11-01-16,58,Clothing,2,600.16,450.12,Cash,Central,Texas,Mall of Istanbul
I177537,11-01-16,63,Clothing,4,1200.32,1140.304,Cash,East,New York,Metropol AVM
I229528,11-01-16,56,Toys,5,179.2,143.36,Credit Card,Central,Texas,Kanyon
I340081,11-01-16,63,Clothing,2,600.16,450.12,Debit Card,East,Ohio,Zorlu Center
I772850,11-01-16,33,Cosmetics,3,121.98,91.485,Cash,East,Ohio,Viaport Outlet
I202382,11-01-16,27,Cosmetics,4,162.64,130.112,Cash,Central,Texas,Mall of Istanbul
I940495,11-01-16,62,Cosmetics,1,40.66,28.462,Cash,West,Washington,Kanyon
I175141,11-01-16,42,Cosmetics,4,162.64,130.112,Cash,West,Washington,Metropol AVM
I175475,11-01-16,44,Cosmetics,4,162.64,130.112,Credit Card,West,California,Metrocity
I122787,11-01-16,65,Books,5,75.75,56.8125,Credit Card,East,New York,Istinye Park
I346342,11-01-16,25,Shoes,4,2400.68,2280.646,Credit Card,West,Washington,Metrocity
I268330,11-01-16,50,Clothing,1,300.08,225.06,Cash,East,Ohio,Mall of Istanbul
I252629,11-01-16,25,Shoes,1,600.17,450.1275,Credit Card,East,Ohio,Mall of Istanbul
I302887,11-01-16,57,Clothing,1,300.08,225.06,Cash,East,Ohio,Istinye Park
I123114,11-01-16,43,Clothing,3,900.24,675.18,Credit Card,East,Ohio,Mall of Istanbul
I125057,11-01-16,64,Cosmetics,2,81.32,56.924,Debit Card,Central,Iowa,Mall of Istanbul
I545404,11-01-16,44,Food & Beverage,3,15.69,10.983,Debit Card,West,Arizona,Kanyon
I205770,11-01-16,27,Shoes,1,600.17,450.1275,Cash,East,New York,Zorlu Center
I496195,11-01-16,28,Food & Beverage,1,5.23,3.661,Credit Card,East,New York,Viaport Outlet
I261806,11-01-16,63,Toys,1,35.84,25.088,Cash,South,North Carolina,Istinye Park
I166741,11-01-16,38,Toys,3,107.52,80.64,Debit Card,South,North Carolina,Zorlu Center
I198319,11-01-16,32,Food & Beverage,5,26.15,19.6125,Credit Card,Central,Texas,Kanyon
I184311,11-01-16,29,Souvenir,4,46.92,35.19,Credit Card,West,California,Viaport Outlet
I236543,11-01-16,31,Clothing,4,1200.32,1140.304,Credit Card,West,California,Metrocity
I202266,11-01-16,51,Food & Beverage,5,26.15,19.6125,Credit Card,West,California,Metrocity
I444088,11-01-16,44,Clothing,5,1500.4,1425.38,Cash,West,California,Zorlu Center
I175936,11-01-16,54,Clothing,1,300.08,225.06,Debit Card,West,California,Kanyon
I404197,11-01-16,22,Clothing,2,600.16,450.12,Debit Card,West,California,Metrocity
I337440,11-01-16,63,Food & Beverage,5,26.15,19.6125,Credit Card,Central,Michigan,Metrocity
I175521,11-01-16,20,Food & Beverage,1,5.23,3.661,Cash,South,Florida,Metrocity
I276594,11-01-16,46,Clothing,5,1500.4,1425.38,Credit Card,South,Florida,Mall of Istanbul
I297141,11-01-16,22,Food & Beverage,1,5.23,3.661,Credit Card,South,Alabama,Mall of Istanbul
I236513,11-01-16,62,Clothing,2,600.16,450.12,Cash,Central,Illinois,Zorlu Center
I960442,11-01-16,51,Clothing,3,900.24,675.18,Cash,Central,Illinois,Metrocity
I164635,11-01-16,21,Cosmetics,5,203.3,162.64,Debit Card,Central,Illinois,Mall of Istanbul
I170797,11-01-16,29,Cosmetics,5,203.3,162.64,Cash,Central,Michigan,Metropol AVM
I333508,11-01-16,62,Cosmetics,4,162.64,130.112,Cash,West,Colorado,Kanyon
I946392,11-01-16,56,Food & Beverage,5,26.15,19.6125,Cash,West,Colorado,Mall of Istanbul
I302373,11-01-16,18,Toys,2,71.68,50.176,Cash,East,New York,Kanyon
I318915,11-01-16,58,Shoes,3,1800.51,1620.459,Cash,East,New York,Viaport Outlet
I257218,11-01-16,54,Toys,2,71.68,50.176,Debit Card,East,New York,Kanyon
I289455,11-01-16,65,Technology,1,1050,945,Debit Card,East,New York,Metrocity
I978693,11-01-16,59,Cosmetics,1,40.66,28.462,Cash,East,Delaware,Kanyon
I793836,11-01-16,60,Technology,5,5250,4725,Cash,East,Delaware,Mall of Istanbul
I332011,11-01-16,18,Cosmetics,5,203.3,162.64,Credit Card,East,Delaware,Zorlu Center
I282017,11-01-16,24,Clothing,4,1200.32,1140.304,Cash,East,Delaware,Viaport Outlet
I296657,11-01-16,20,Cosmetics,2,81.32,56.924,Cash,Central,Texas,Mall of Istanbul
I119063,11-01-16,31,Toys,2,71.68,50.176,Credit Card,Central,Texas,Kanyon
I196058,11-01-16,52,Food & Beverage,5,26.15,19.6125,Cash,East,Massachusetts,Metrocity
I835008,11-01-16,48,Cosmetics,5,203.3,162.64,Credit Card,West,California,Mall of Istanbul
I852057,11-01-16,55,Cosmetics,4,162.64,130.112,Debit Card,West,California,Metrocity
I456731,11-01-16,42,Cosmetics,5,203.3,162.64,Cash,Central,Illinois,Viaport Outlet
I134854,11-01-16,46,Cosmetics,2,81.32,56.924,Credit Card,East,New York,Kanyon
I171775,11-01-16,65,Clothing,2,600.16,450.12,Credit Card,Central,Texas,Zorlu Center
I825581,11-01-16,46,Souvenir,1,11.73,8.211,Credit Card,Central,Texas,Zorlu Center
I187124,11-01-16,54,Toys,3,107.52,80.64,Debit Card,Central,Texas,Mall of Istanbul
I936084,11-01-16,61,Shoes,4,2400.68,2280.646,Credit Card,South,Alabama,Kanyon
I481272,11-01-16,27,Toys,5,179.2,143.36,Credit Card,East,New York,Metrocity
I144997,11-01-16,57,Food & Beverage,3,15.69,10.983,Debit Card,West,Arizona,Mall of Istanbul
I176337,11-01-16,38,Clothing,4,1200.32,1140.304,Cash,South,North Carolina,Metropol AVM
I236037,11-01-16,23,Clothing,2,600.16,450.12,Cash,East,Pennsylvania,Mall of Istanbul
I312161,11-01-16,53,Clothing,3,900.24,675.18,Credit Card,East,Ohio,Viaport Outlet
I222740,11-01-16,40,Toys,3,107.52,80.64,Credit Card,East,Ohio,Metrocity
I332112,11-01-16,26,Souvenir,2,23.46,16.422,Credit Card,West,California,Mall of Istanbul
I800272,11-01-16,54,Shoes,5,3000.85,2700.765,Debit Card,West,California,Mall of Istanbul
I658459,11-01-16,39,Shoes,4,2400.68,2280.646,Credit Card,West,California,Metrocity
I121493,11-01-16,66,Clothing,1,300.08,225.06,Credit Card,West,California,Zorlu Center
I280314,11-01-16,55,Toys,2,71.68,50.176,Credit Card,West,California,Kanyon
I649394,11-01-16,65,Toys,3,107.52,80.64,Credit Card,West,California,Istinye Park
I904632,11-01-16,41,Food & Beverage,4,20.92,15.69,Credit Card,West,California,Mall of Istanbul
I317469,11-01-16,62,Technology,2,2100,1890,Cash,West,California,Mall of Istanbul
I209272,11-01-16,36,Food & Beverage,4,20.92,15.69,Cash,Central,Texas,Kanyon
I259223,11-01-16,54,Shoes,1,600.17,450.1275,Cash,Central,Texas,Kanyon
I268539,11-01-16,54,Food & Beverage,2,10.46,7.322,Cash,Central,Indiana,Metrocity
I870998,11-01-16,51,Toys,3,107.52,80.64,Cash,East,Pennsylvania,Metropol AVM
